Ticket,Open,Type,Volume,Symbol,Price,SL,TP,Close,Price,Swap,Commissions,Profit,Pips,"Trade duration in seconds"
93777343,"2025-02-05 14:28:13",buy,4,US100.cash,21448.91750000,21324.25,21724.25000000,"2025-02-05 17:13:31",21494.75000000,0,0,146.51000000,45.83,9918
93776372,"2025-02-05 16:58:47",sell,2,US100.cash,21475.55000000,21505.55,21425.55000000,"2025-02-05 17:08:44",21507.35000000,0,0,-50.83000000,-31.80,597
93776268,"2025-02-05 17:02:22",buy,2,ETHUSD,2767.26000000,2752.26,2807.26000000,"2025-02-05 17:08:16",2751.70000000,0,0,-24.87000000,-15.56,354
93773865,"2025-02-05 16:06:23",buy,2,US100.cash,21418.85000000,21392.21,21638.63000000,"2025-02-05 16:52:06",21474.25000000,0,0,88.51000000,55.40,2743
93773686,"2025-02-05 16:05:50",buy,4,US30.cash,44448.04000000,44417.12,44987.41000000,"2025-02-05 16:51:14",44553.26000000,0,0,336.23000000,105.22,2724
93773051,"2025-02-05 16:06:23",buy,3,US100.cash,21418.85000000,21392.21,21638.63000000,"2025-02-05 16:48:24",21480.85000000,0,0,148.61000000,62.00,2521
93772990,"2025-02-05 16:05:50",buy,2,US30.cash,44413.44000000,44417.12,44987.41000000,"2025-02-05 16:48:02",44564.86000000,0,0,241.97000000,151.42,2532
93771906,"2025-02-05 14:28:13",buy,2,US100.cash,21424.25000000,21324.25,21724.25000000,"2025-02-05 16:41:34",21475.75000000,0,0,82.34000000,51.50,8001
93771843,"2025-02-05 16:05:50",buy,4,US30.cash,44378.84000000,44417.12,44987.41000000,"2025-02-05 16:41:16",44586.36000000,0,0,663.47000000,207.52,2126
93771660,"2025-02-05 16:06:23",buy,5,US100.cash,21418.85000000,21392.21,21638.63000000,"2025-02-05 16:40:03",21486.65000000,0,0,270.93000000,67.80,2020
93771157,"2025-02-05 16:35:02",sell,5,US100.cash,21471.15000000,21482.86,0.00000000,"2025-02-05 16:37:33",21483.25000000,0,0,-48.35000000,-12.10,151
93770977,"2025-02-05 14:28:13",buy,2,US100.cash,21424.25000000,21324.25,21724.25000000,"2025-02-05 16:36:25",21476.35000000,0,0,83.27000000,52.10,7692
93768810,"2025-02-05 16:25:07",sell,10,US100.cash,21442.25000000,21454.79,0.00000000,"2025-02-05 16:25:16",21456.85000000,0,0,-116.71000000,-14.60,9
93763235,"2025-02-05 14:32:23",buy,1.1,ETHUSD,2803.93000000,2763.93,2843.93000000,"2025-02-05 16:04:15",2763.30000000,0,0,-35.70000000,-40.63,5512
93763060,"2025-02-05 14:21:02",buy,6,US100.cash,21413.80000000,21401.36,21663.80000000,"2025-02-05 16:04:02",21400.65000000,0,0,-63.01000000,-13.15,6180
93763061,"2025-02-05 14:39:37",buy,4.3,US100.cash,21422.66395000,21402.07,21572.66000000,"2025-02-05 16:04:02",21400.65000000,0,0,-75.60000000,-22.01,5065
93762797,"2025-02-05 15:57:53",buy,5,US30.cash,44441.84000000,44381.84,0.00000000,"2025-02-05 16:03:44",44380.56000000,0,0,-244.76000000,-61.28,351
93759424,"2025-02-05 15:08:01",buy,5.2,US30.cash,44562.51692000,44443.05,44762.52000000,"2025-02-05 15:57:19",44440.56000000,0,0,-506.70000000,-121.96,2958
93758852,"2025-02-04 23:31:32",buy,2.1,ETHUSD,2728.05857000,2710.72,2831.43000000,"2025-02-05 15:55:27",2791.33000000,0,0,106.17000000,63.27,59035
93757970,"2025-02-05 14:30:32",buy,5,US30.cash,44487.94000000,44448.07,44787.94000000,"2025-02-05 15:51:56",44527.56000000,0,0,158.37000000,39.62,4884
93755316,"2025-02-05 15:02:38",sell,0.2,BTCUSD,98364.64000000,98864.64,97364.64000000,"2025-02-05 15:40:40",98904.44000000,0,0,-86.31000000,-539.80,2282
93751311,"2025-02-05 07:35:44",buy,0.1,BTCUSD,98504.51000000,97485.17,99840.49000000,"2025-02-05 15:25:00",98504.07000000,0,0,-0.04000000,-0.44,28156
93751269,"2025-02-05 14:32:23",buy,1,ETHUSD,2803.93000000,2763.93,2843.93000000,"2025-02-05 15:24:21",2804.70000000,0,0,0.62000000,0.77,3118
93750167,"2025-02-04 23:31:32",buy,1,ETHUSD,2671.43000000,2710.72,2831.43000000,"2025-02-05 15:12:49",2802.06000000,0,0,104.30000000,130.63,56477
93749934,"2025-02-05 14:52:35",sell,5.31,US100.cash,21417.45000000,21428.85,0.00000000,"2025-02-05 15:10:36",21429.35000000,0,0,-50.45000000,-11.90,1081
93749324,"2025-02-05 14:03:19",sell,2,US30.cash,44494.56000000,44534.56,44253.39000000,"2025-02-05 15:06:26",44534.94000000,0,0,-64.52000000,-40.38,3787
93749171,"2025-02-05 14:32:23",buy,1.1,ETHUSD,2803.93000000,2763.93,2843.93000000,"2025-02-05 15:04:59",2806.13000000,0,0,1.93000000,2.20,1956
93748890,"2025-02-05 14:58:40",buy,5.5,US100.cash,21423.25000000,21408.59,21495.20000000,"2025-02-05 15:02:44",21407.65000000,0,0,-68.55000000,-15.60,244
